# in format of name, latitude, longitude, countryCode, population
Kelowna,49.888056,-119.495556,CA,127380
Rotterdam,51.916667,4.5,NL,623652
The Hague,52.083333,4.316667,NL,514861
Nampa,43.574722,-116.563611,US,93590
Monclova,26.910278,-101.422222,MX,231107
Torreón,25.539444,-103.448611,MX,679228
Victoria de Durango,24.023611,-104.669722,MX,463830
Navojoa,27.0813,-109.4461,MX,157729
Los Mochis,25.783497,-108.993742,MX,256613
Ciudad Obregón,27.489167,-109.935,MX,405000
Tijuana,32.525,-117.033333,MX,1641570
Ciudad Juárez,31.739444,-106.486944,MX,1301452
Ensenada,31.857778,-116.605833,MX,689075
