ULWC,2523,ASP,03/21,667947
UUMO,2050,CONC,08/26,528269
UNWW,2680,CONC,01L/19R,801806
UNWW,2600,CONC,01R/19L,801806
USKK,2703,ASP,03/21,773746
USKK,675,ASP,06/24,773746
UWPP,2800,ASP,11/29,718252
UUBA,1640,ASP,11/29,668572
UUBI,2504,ASP,11/29,630144
UUBK,2000,ASP,04/22,586130
UWPS,2802,ASP,02/20,464367
USUU,2601,ASP,02/20,317840
UWSB,2507,CONC,03/21,315722
URMS,3000,ASP,09/27,289677
URMS,2312,ASP,10/28,289677
ULKK,1450,ASP,13/31,232807
UUYH,2650,ASP,18/36,165568
UNKY,2700,ASP,05/23,157129
UNKY,1300,ASP,14/32,157129
USRN,2700,ASP,14/32,145444
URKE,3490,ASP,08/26,138229
UWKJ,2400,ASP,16/34,252835
USRO,2509,ASP,01/19,116224
USHS,2500,CONC,12/30,75694
UITT,2000,CONC,12/30,74879
UNII,2190,ASP,16/34,73034
USHN,2532,CONC,16/34,64825
UUYP,1800,ASP,16/34,64092
USMM,2548,CONC,14/32,58095
UHWP,1600,GVL,13/31,56240
UUYS,2502,ASP,13/31,50589
UHSK,1600,ASP,16/34,47901
USHU,2300,CONC,18/36,47296
ZKSD,2502,CONC,02/20,823929
VASD,2500,ASP,09/27,682196
SBJE,2200,ASP,08/26,587583
VOKN,3050,ASP,07/25,519014
ZKWS,3125,CONC,15R/33L,494427
ZKWS,3500,CONC,15L/33R,494427
ZKWS,500,ASP,02/20,494427
OPKD,2132,ASP,02/20,383469
HESG,3000,ASP,15/33,365849
SCQP,2440,ASP,01/19,362906
MGQZ,2103,ASP,05/23,353579
UAOO,2700,ASP,06/24,341828
OPSN,1980,ASP,17/35,307604
MTPX,640,GVL,05/23,305214
ZMCK,3600,ASP,11/29,273416
HTTB,1900,ASP,13/31,252546
HTTB,1500,GVL,08/26,252546
UBBQ,3600,ASP,16/34,242492
FZAJ,1020,GVL,03/21,205476
UKOH,2500,CONC,03/21,200796
UHNN,1863,CONC,11/29,33252
USHQ,2142,ASP,16/34,32941
ULAS,1500,ASP,10/28,29600
UIKB,1600,ASP,06/24,27343
ULAM,2500,CONC,06/24,24586
UERL,2000,GVL,07/25,22040
UENW,1600,CONC,12/30,16089
UEMT,1100,ASP,07/25,10560
UOII,2512,CONC,12/30,9169
UENI,1400,ASP,04/22,8381
UHMK,2475,GVL,09/27,5757
UEBB,2000,GVL,05/23,5654
UHOO,2000,CONC,01/19,5570
UENS,2000,CONC,17/35,5399
UHNB,1050,ASP,03/21,4837
UOTT,1800,CONC,13/31,4774
UESS,1700,ASP,13/31,3707
UESU,1800,CONC,16/34,3627
UEVV,1100,ASP,17/35,3237
UEMU,1400,ASP,04/22,3062
UESO,2000,ASP,08/26,2506
UERS,1600,ASP,18/36,1920
UEBS,1200,ASP,12/30,1666
UEBT,1400,ASP,04/22,1517
OIIS,3578,ASP,04/22,45049
ULDD,2600,CONC,08/26,609
UUOL,2300,ASP,15/33,735359
UUBK,2000,ASP,04/22,586130
VVVD,3600,CONC,03/21,180249
FZUK,1600,GVL,16/34,167163
UTDT,2285,ASP,17/35,164404
HKNL,1200,ASP,03/21,145132
VYMW,2588,ASP,01/19,137573
SKTL,1350,ASP,17/35,132892
